body_id,body_guid,body_last_modified_utc,body_row_version,body_name,body_type_id,body_type_name,body_meet_flag,body_active_flag,body_sort,body_description,body_contact_name_id,body_contact_full_name,body_contact_phone,body_contact_email,body_used_control_flag,body_number_of_members,body_used_acting_flag,body_used_target_flag,body_used_sponsor_flag
138,871F0C85-7C57-4346-8846-7E4C257B36D4,2014-05-24T04:18:20.45,AAAAAABZmo8=,City Council,42,Primary Legislative Body,1,1,999,"",198,Toni Taber,"",toni.taber@sanjoseca.gov,0,11,0,0,0
139,3C833C63-465D-458B-ACED-1612AB404A64,2014-05-24T04:18:20.45,AAAAAABfbtI=,Neighborhood Services and Education Committee (NSE),43,Committee,1,1,999,"The purpose of this Committee is to serve, foster, and strengthen community by providing access to lifelong learning, opportunities to enjoy life, ensuring a diverse range of housing opportunities, and preserving healthy neighborhoods.",780,Gina Espejo,"","",0,5,0,0,0
140,67DB40F2-D1A0-4F97-A55D-D5F95CE9E6DF,2014-05-24T04:18:20.45,AAAAAABfbss=,Community & Economic Development Committee (CED),43,Committee,1,1,999,"The purpose of this Committee is to manage growth and change of the City in order to encourage a strong economy; ensure a diverse range of arts, cultural, and entertainment offerings; and create and preserve housing and healthy neighborhoods.",624,Mike Jones,"","",0,5,0,0,0
170,D71AD5FB-A930-47DF-AA0C-E72E8F9E313C,2015-06-26T07:24:57.637,AAAAAAA7iG0=,Smart Cities and Service Improvements Committee ,43,Committee,1,1,999,"",624,Mike Jones,"","",0,10,0,0,0
172,32D44271-FDC4-40BD-AFAF-C8AD633F8E83,2015-06-26T07:26:00.223,AAAAAABGbEY=,"Public Safety, Finance and Strategic Support Committee (PSFSS)",43,Committee,1,1,999,"The purpose of the PSFSS Committee is to effectively develop, manage, and safeguard the City's fiscal, physical, technological, and human resources to enable and enhance the delivery of City services and projects and to provide prevention and emergency response services for crime, fire, medical, hazardous, and disaster related situations.",,,,,0,5,0,0,0
198,CCB2C5F0-7AA6-4B0C-AAFC-4283EBC79276,2016-05-15T19:30:42.407,AAAAAABNhHg=,Airport Commission,44,Board or Commission,1,1,999,"",,,,,0,11,0,0,0
199,A896E33A-FB42-4EED-99DC-E18BE15233E0,2016-05-15T19:31:23.157,AAAAAAA690k=,Appeals Hearing Board,44,Board or Commission,1,1,999,"",,,,,0,7,0,0,0
200,4FE9CF16-D62A-4F77-9494-63B7E2D46BDF,2016-05-15T19:31:46.553,AAAAAAA6908=,Arts Commission,44,Board or Commission,1,1,999,"",,,,,0,11,0,0,0
201,8CD9D79D-782E-4BA8-81DD-A13CEBDDD384,2016-05-15T19:32:19.66,AAAAAAA691s=,Civil Service Commission,44,Board or Commission,1,1,999,"",,,,,0,5,0,0,0
202,08918548-47D8-4B89-A573-C05DE40CE9F0,2016-05-15T19:33:02.747,AAAAAAA697w=,Council Appointment Advisory Commission,44,Board or Commission,1,1,999,"",616,Elaine Trinh,"","",0,11,0,0,0
